==115680== NVPROF is profiling process 115680, command: ./a.out ../models/bunny.stl
==115680== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==115680== Profiling application: ./a.out ../models/bunny.stl
==115680== Profiling result:
==115680== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "TITAN Xp (0)"
    Kernel: pps(triangle*, unsigned long, bool*)
          1                             inst_per_warp                                                 Instructions per warp  1.5653e+06  1.5653e+06  1.5653e+06
          1                         branch_efficiency                                                     Branch Efficiency      90.27%      90.27%      90.27%
          1                 warp_execution_efficiency                                             Warp Execution Efficiency      92.49%      92.49%      92.49%
          1         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      76.82%      76.82%      76.82%
          1                      inst_replay_overhead                                           Instruction Replay Overhead    0.000016    0.000016    0.000016
          1      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    1.799749    1.799749    1.799749
          1     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    2.000000    2.000000    2.000000
          1       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    6.238906    6.238906    6.238906
          1      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    0.000659    0.000659    0.000659
          1              gld_transactions_per_request                                  Global Load Transactions Per Request   32.035932   32.035932   32.035932
          1              gst_transactions_per_request                                 Global Store Transactions Per Request    1.942143    1.942143    1.942143
          1                 shared_store_transactions                                             Shared Store Transactions     6152202     6152202     6152202
          1                  shared_load_transactions                                              Shared Load Transactions   783496164   783496164   783496164
          1                   local_load_transactions                                               Local Load Transactions      274855      274855      274855
          1                  local_store_transactions                                              Local Store Transactions       57386       57386       57386
          1                          gld_transactions                                              Global Load Transactions    98621046    98621046    98621046
          1                          gst_transactions                                             Global Store Transactions       48942       48942       48942
          1                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                                      System Memory Write Transactions          23          23          23
          1                      l2_read_transactions                                                  L2 Read Transactions    98723765    98723765    98723765
          1                     l2_write_transactions                                                 L2 Write Transactions      232193      232193      232193
          1                           global_hit_rate                                     Global Hit Rate in unified l1/tex       0.01%       0.01%       0.01%
          1                            local_hit_rate                                                        Local Hit Rate      85.17%      85.17%      85.17%
          1                  gld_requested_throughput                                      Requested Global Load Throughput  7.5055GB/s  7.5055GB/s  7.5055GB/s
