==113721== NVPROF is profiling process 113721, command: ./a.out ../models/club.stl
==113721== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==113721== Profiling application: ./a.out ../models/club.stl
==113721== Profiling result:
==113721== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "TITAN Xp (0)"
    Kernel: pps(triangle*, unsigned long, bool*)
          1                 tex0_cache_sector_queries     7083612     7083612     7083612     7083612
          1                 tex1_cache_sector_queries     7081452     7081452     7081452     7081452
          1                  tex0_cache_sector_misses     6985615     6985615     6985615     6985615
          1                  tex1_cache_sector_misses     6984543     6984543     6984543     6984543
          1                     fb_subp0_read_sectors         743         743         743         743
          1                     fb_subp1_read_sectors         557         557         557         557
          1                    fb_subp0_write_sectors       10951       10951       10951       10951
          1                    fb_subp1_write_sectors       11372       11372       11372       11372
          1              l2_subp0_write_sector_misses       11103       11103       11103       11103
          1              l2_subp1_write_sector_misses       11190       11190       11190       11190
          1               l2_subp0_read_sector_misses         683         683         683         683
          1               l2_subp1_read_sector_misses         617         617         617         617
          1          l2_subp0_read_tex_sector_queries     6930793     6930793     6930793     6930793
          1          l2_subp1_read_tex_sector_queries     6929092     6929092     6929092     6929092
          1         l2_subp0_write_tex_sector_queries       15065       15065       15065       15065
          1         l2_subp1_write_tex_sector_queries       15178       15178       15178       15178
          1             l2_subp0_read_tex_hit_sectors     6930706     6930706     6930706     6930706
          1             l2_subp1_read_tex_hit_sectors     6928947     6928947     6928947     6928947
          1            l2_subp0_write_tex_hit_sectors       13417       13417       13417       13417
          1            l2_subp1_write_tex_hit_sectors       13403       13403       13403       13403
          1        l2_subp0_total_read_sector_queries     6931461     6931461     6931461     6931461
          1        l2_subp1_total_read_sector_queries     6929753     6929753     6929753     6929753
          1       l2_subp0_total_write_sector_queries       15124       15124       15124       15124
          1       l2_subp1_total_write_sector_queries       15162       15162       15162       15162
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           5           5           5           5
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm   726701190   726701190   726701190   726701190
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit    13854465    13854465    13854465    13854465
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit      800000      800000      800000      800000
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit           0           0           0           0
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched        1256        1256        1256        1256
          1                              inst_issued0  2266439699  2266439699  2266439699  2266439699
          1                              inst_issued1   180966300   180966300   180966300   180966300
          1                              inst_issued2    42993582    42993582    42993582    42993582
          1                             inst_executed   266945825   266945825   266945825   266945825
          1                      thread_inst_executed  8136543746  8136543746  8136543746  8136543746
          1   not_predicated_off_thread_inst_executed  6762646074  6762646074  6762646074  6762646074
          1                             active_cycles   620778435   620778435   620778435   620778435
          1                              active_warps  1.4435e+10  1.4435e+10  1.4435e+10  1.4435e+10
          1                               global_load      433845      433845      433845      433845
          1                              global_store       25000       25000       25000       25000
          1                              generic_load          87          87          87          87
          1                             generic_store          18          18          18          18
          1                     inst_executed_in_trap           0           0           0           0
          1                     active_cycles_in_trap           0           0           0           0
          1                               local_store    12257679    12257679    12257679    12257679
          1                                local_load       25199       25199       25199       25199
          1                               shared_load    61107611    61107611    61107611    61107611
          1                              shared_store      433791      433791      433791      433791
          1             inst_executed_shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas          24          24          24          24
          1                                atom_count           0           0           0           0
          1                                gred_count          24          24          24          24
          1                          divergent_branch     3476854     3476854     3476854     3476854
          1                                    branch    42055474    42055474    42055474    42055474
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                    shared_ld_transactions   109747782   109747782   109747782   109747782
          1                    shared_st_transactions      867582      867582      867582      867582
          1                          active_cycles_pm   622873367   622873367   622873367   622873367
          1                           active_warps_pm  1.3955e+10  1.3955e+10  1.3955e+10  1.3955e+10
          1                         elapsed_cycles_pm   726666575   726666575   726666575   726666575
