==2805319== NVPROF is profiling process 2805319, command: ./out/bbox-main models/heart.stl
==2805319== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==2805319== Profiling application: ./out/bbox-main models/heart.stl
==2805319== Profiling result:
==2805319== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "TITAN Xp (0)"
    Kernel: rectTriIntersection(double*, unsigned long, bool*)
          1                 tex0_cache_sector_queries     1751580     1751580     1751580     1751580
          1                 tex1_cache_sector_queries     1752049     1752049     1752049     1752049
          1                  tex0_cache_sector_misses     1187799     1187799     1187799     1187799
          1                  tex1_cache_sector_misses     1188238     1188238     1188238     1188238
          1                     fb_subp0_read_sectors     1062859     1062859     1062859     1062859
          1                     fb_subp1_read_sectors     1063177     1063177     1063177     1063177
          1                    fb_subp0_write_sectors       93060       93060       93060       93060
          1                    fb_subp1_write_sectors       93286       93286       93286       93286
          1              l2_subp0_write_sector_misses       93121       93121       93121       93121
          1              l2_subp1_write_sector_misses       93221       93221       93221       93221
          1               l2_subp0_read_sector_misses     1062961     1062961     1062961     1062961
          1               l2_subp1_read_sector_misses     1063075     1063075     1063075     1063075
          1          l2_subp0_read_tex_sector_queries     1047064     1047064     1047064     1047064
          1          l2_subp1_read_tex_sector_queries     1047076     1047076     1047076     1047076
          1         l2_subp0_write_tex_sector_queries          24          24          24          24
          1         l2_subp1_write_tex_sector_queries          14          14          14          14
          1             l2_subp0_read_tex_hit_sectors       55320       55320       55320       55320
          1             l2_subp1_read_tex_hit_sectors       55244       55244       55244       55244
          1            l2_subp0_write_tex_hit_sectors           0           0           0           0
          1            l2_subp1_write_tex_hit_sectors           0           0           0           0
          1        l2_subp0_total_read_sector_queries     1187881     1187881     1187881     1187881
          1        l2_subp1_total_read_sector_queries     1188246     1188246     1188246     1188246
          1       l2_subp0_total_write_sector_queries      140780      140780      140780      140780
          1       l2_subp1_total_write_sector_queries      141130      141130      141130      141130
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           1           1           1           1
          1      l2_subp1_write_sysmem_sector_queries           4           4           4           4
          1                         elapsed_cycles_sm   106079645   106079645   106079645   106079645
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit     7732053     7732053     7732053     7732053
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit           0           0           0           0
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched        2048        2048        2048        2048
          1                              inst_issued0   333556920   333556920   333556920   333556920
          1                              inst_issued1    24396344    24396344    24396344    24396344
          1                              inst_issued2     1419580     1419580     1419580     1419580
          1                             inst_executed    27231217    27231217    27231217    27231217
          1                      thread_inst_executed   424929674   424929674   424929674   424929674
          1   not_predicated_off_thread_inst_executed   414874308   414874308   414874308   414874308
          1                             active_cycles    90993836    90993836    90993836    90993836
          1                              active_warps  2565649260  2565649260  2565649260  2565649260
          1                               global_load      241632      241632      241632      241632
          1                              global_store           0           0           0           0
          1                              generic_load           0           0           0           0
          1                             generic_store           0           0           0           0
          1                     inst_executed_in_trap           0           0           0           0
          1                     active_cycles_in_trap           0           0           0           0
          1                               local_store           0           0           0           0
          1                                local_load           0           0           0           0
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1             inst_executed_shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count      101233      101233      101233      101233
          1                          divergent_branch      152090      152090      152090      152090
          1                                    branch     1910660     1910660     1910660     1910660
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                    shared_ld_transactions           0           0           0           0
          1                    shared_st_transactions           0           0           0           0
          1                          active_cycles_pm    91022373    91022373    91022373    91022373
          1                           active_warps_pm  2560561968  2560561968  2560561968  2560561968
          1                         elapsed_cycles_pm   108100105   108100105   108100105   108100105
    Kernel: layerExtraction(bool*, int)
          1                 tex0_cache_sector_queries     3276800     3276800     3276800     3276800
          1                 tex1_cache_sector_queries     3276800     3276800     3276800     3276800
          1                  tex0_cache_sector_misses     2048000     2048000     2048000     2048000
          1                  tex1_cache_sector_misses     2048000     2048000     2048000     2048000
          1                     fb_subp0_read_sectors      409606      409606      409606      409606
          1                     fb_subp1_read_sectors      409600      409600      409600      409600
          1                    fb_subp0_write_sectors      411818      411818      411818      411818
          1                    fb_subp1_write_sectors      411916      411916      411916      411916
          1              l2_subp0_write_sector_misses      411872      411872      411872      411872
          1              l2_subp1_write_sector_misses      411858      411858      411858      411858
          1               l2_subp0_read_sector_misses      409606      409606      409606      409606
          1               l2_subp1_read_sector_misses      409600      409600      409600      409600
          1          l2_subp0_read_tex_sector_queries      409600      409600      409600      409600
          1          l2_subp1_read_tex_sector_queries      409600      409600      409600      409600
          1         l2_subp0_write_tex_sector_queries      409600      409600      409600      409600
          1         l2_subp1_write_tex_sector_queries      409600      409600      409600      409600
          1             l2_subp0_read_tex_hit_sectors           0           0           0           0
          1             l2_subp1_read_tex_hit_sectors           0           0           0           0
          1            l2_subp0_write_tex_hit_sectors      409600      409600      409600      409600
          1            l2_subp1_write_tex_hit_sectors      409600      409600      409600      409600
          1        l2_subp0_total_read_sector_queries      409648      409648      409648      409648
          1        l2_subp1_total_read_sector_queries      409648      409648      409648      409648
          1       l2_subp0_total_write_sector_queries      409609      409609      409609      409609
          1       l2_subp1_total_write_sector_queries      409604      409604      409604      409604
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           1           1           1           1
