==113856== NVPROF is profiling process 113856, command: ./a.out ../models/bunny.stl
==113856== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==113856== Profiling application: ./a.out ../models/bunny.stl
==113856== Profiling result:
==113856== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "TITAN Xp (0)"
    Kernel: pps(triangle*, unsigned long, bool*)
          1                 tex0_cache_sector_queries    49554693    49554693    49554693    49554693
          1                 tex1_cache_sector_queries    49557956    49557956    49557956    49557956
          1                  tex0_cache_sector_misses    49423977    49423977    49423977    49423977
          1                  tex1_cache_sector_misses    49437343    49437343    49437343    49437343
          1                     fb_subp0_read_sectors      187496      187496      187496      187496
          1                     fb_subp1_read_sectors      186793      186793      186793      186793
          1                    fb_subp0_write_sectors       41754       41754       41754       41754
          1                    fb_subp1_write_sectors       42019       42019       42019       42019
          1              l2_subp0_write_sector_misses       41027       41027       41027       41027
          1              l2_subp1_write_sector_misses       41086       41086       41086       41086
          1               l2_subp0_read_sector_misses      187140      187140      187140      187140
          1               l2_subp1_read_sector_misses      187149      187149      187149      187149
          1          l2_subp0_read_tex_sector_queries    49258404    49258404    49258404    49258404
          1          l2_subp1_read_tex_sector_queries    49259796    49259796    49259796    49259796
          1         l2_subp0_write_tex_sector_queries       52250       52250       52250       52250
          1         l2_subp1_write_tex_sector_queries       53510       53510       53510       53510
          1             l2_subp0_read_tex_hit_sectors    49077259    49077259    49077259    49077259
          1             l2_subp1_read_tex_hit_sectors    49076220    49076220    49076220    49076220
          1            l2_subp0_write_tex_hit_sectors       37018       37018       37018       37018
          1            l2_subp1_write_tex_hit_sectors       38266       38266       38266       38266
          1        l2_subp0_total_read_sector_queries    49317784    49317784    49317784    49317784
          1        l2_subp1_total_read_sector_queries    49378283    49378283    49378283    49378283
          1       l2_subp0_total_write_sector_queries       86458       86458       86458       86458
          1       l2_subp1_total_write_sector_queries      154494      154494      154494      154494
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries          38          38          38          38
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm  5512311705  5512311705  5512311705  5512311705
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit    98435232    98435232    98435232    98435232
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit      800000      800000      800000      800000
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit           0           0           0           0
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched        1256        1256        1256        1256
          1                              inst_issued0  1.7183e+10  1.7183e+10  1.7183e+10  1.7183e+10
          1                              inst_issued1  1354029276  1354029276  1354029276  1354029276
          1                              inst_issued2   306040780   306040780   306040780   306040780
          1                             inst_executed  1965993763  1965993763  1965993763  1965993763
          1                      thread_inst_executed  5.8190e+10  5.8190e+10  5.8190e+10  5.8190e+10
          1   not_predicated_off_thread_inst_executed  4.8330e+10  4.8330e+10  4.8330e+10  4.8330e+10
          1                             active_cycles  4707481588  4707481588  4707481588  4707481588
          1                              active_warps  1.0383e+11  1.0383e+11  1.0383e+11  1.0383e+11
          1                               global_load     3078529     3078529     3078529     3078529
          1                              global_store       25216       25216       25216       25216
          1                              generic_load       27524       27524       27524       27524
          1                             generic_store       23388       23388       23388       23388
          1                     inst_executed_in_trap           0           0           0           0
          1                     active_cycles_in_trap           0           0           0           0
          1                               local_store    87096662    87096662    87096662    87096662
          1                                local_load       44353       44353       44353       44353
          1                               shared_load   435336428   435336428   435336428   435336428
          1                              shared_store     3076101     3076101     3076101     3076101
          1             inst_executed_shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas       10747       10747       10747       10747
          1                                atom_count           0           0           0           0
          1                                gred_count        1399        1399        1399        1399
          1                          divergent_branch    31060387    31060387    31060387    31060387
          1                                    branch   319155507   319155507   319155507   319155507
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                    shared_ld_transactions   783496116   783496116   783496116   783496116
          1                    shared_st_transactions     6152202     6152202     6152202     6152202
          1                          active_cycles_pm  4711707306  4711707306  4711707306  4711707306
          1                           active_warps_pm  1.0386e+11  1.0386e+11  1.0386e+11  1.0386e+11
          1                         elapsed_cycles_pm  5532395070  5532395070  5532395070  5532395070
