==2933676== NVPROF is profiling process 2933676, command: ./fps ../models/bunny.stl
==2933676== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==2933676== Profiling application: ./fps ../models/bunny.stl
==2933676== Profiling result:
==2933676== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"tex0_cache_sector_queries",40152761,40152761,40152761,40152761
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"tex1_cache_sector_queries",40152773,40152773,40152773,40152773
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"tex0_cache_sector_misses",40152964,40152964,40152964,40152964
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"tex1_cache_sector_misses",40152570,40152570,40152570,40152570
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"fb_subp0_read_sectors",83876,83876,83876,83876
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"fb_subp1_read_sectors",83054,83054,83054,83054
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"fb_subp0_write_sectors",24616,24616,24616,24616
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"fb_subp1_write_sectors",24579,24579,24579,24579
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"l2_subp0_write_sector_misses",24251,24251,24251,24251
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"l2_subp1_write_sector_misses",24336,24336,24336,24336
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"l2_subp0_read_sector_misses",83335,83335,83335,83335
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"l2_subp1_read_sector_misses",83595,83595,83595,83595
