==2556490== NVPROF is profiling process 2556490, command: ./fps ../models/bunny.stl
==2556490== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==2556490== Profiling application: ./fps ../models/bunny.stl
==2556490== Profiling result:
==2556490== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "TITAN Xp (0)"
    Kernel: fps1(triangle*, unsigned long, char*, unsigned long*, int*)
          1                 tex0_cache_sector_queries    40152545    40152545    40152545    40152545
          1                 tex1_cache_sector_queries    40152989    40152989    40152989    40152989
          1                  tex0_cache_sector_misses    40152529    40152529    40152529    40152529
          1                  tex1_cache_sector_misses    40153005    40153005    40153005    40153005
          1                     fb_subp0_read_sectors       80612       80612       80612       80612
          1                     fb_subp1_read_sectors       80262       80262       80262       80262
          1                    fb_subp0_write_sectors       25126       25126       25126       25126
          1                    fb_subp1_write_sectors       24804       24804       24804       24804
          1              l2_subp0_write_sector_misses       24654       24654       24654       24654
          1              l2_subp1_write_sector_misses       24674       24674       24674       24674
          1               l2_subp0_read_sector_misses       80375       80375       80375       80375
          1               l2_subp1_read_sector_misses       80499       80499       80499       80499
          1          l2_subp0_read_tex_sector_queries    40133336    40133336    40133336    40133336
          1          l2_subp1_read_tex_sector_queries    40137108    40137108    40137108    40137108
          1         l2_subp0_write_tex_sector_queries        8888        8888        8888        8888
          1         l2_subp1_write_tex_sector_queries        8686        8686        8686        8686
          1             l2_subp0_read_tex_hit_sectors    40054488    40054488    40054488    40054488
          1             l2_subp1_read_tex_hit_sectors    40058246    40058246    40058246    40058246
          1            l2_subp0_write_tex_hit_sectors        7069        7069        7069        7069
          1            l2_subp1_write_tex_hit_sectors        6856        6856        6856        6856
          1        l2_subp0_total_read_sector_queries    40143598    40143598    40143598    40143598
          1        l2_subp1_total_read_sector_queries    40146306    40146306    40146306    40146306
          1       l2_subp0_total_write_sector_queries       18199       18199       18199       18199
          1       l2_subp1_total_write_sector_queries       16905       16905       16905       16905
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           1           1           1           1
          1      l2_subp1_write_sysmem_sector_queries           4           4           4           4
          1                         elapsed_cycles_sm  4335830125  4335830125  4335830125  4335830125
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit    80270560    80270560    80270560    80270560
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit        8816        8816        8816        8816
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit        8816        8816        8816        8816
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched    71335936    71335936    71335936    71335936
