==3152671== NVPROF is profiling process 3152671, command: ./multi-tri-fps ../models/bunny.stl
==3152671== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==3152671== Profiling application: ./multi-tri-fps ../models/bunny.stl
==3152671== Profiling result:
==3152671== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "TITAN Xp (0)"
    Kernel: fps1(triangle*, unsigned long, char*, unsigned long*, int*)
          1                 tex0_cache_sector_queries    40134154    40134154    40134154    40134154
          1                 tex1_cache_sector_queries    40132935    40132935    40132935    40132935
          1                  tex0_cache_sector_misses    40134356    40134356    40134356    40134356
          1                  tex1_cache_sector_misses    40132733    40132733    40132733    40132733
          1                     fb_subp0_read_sectors       79409       79409       79409       79409
          1                     fb_subp1_read_sectors       79278       79278       79278       79278
          1                    fb_subp0_write_sectors       24566       24566       24566       24566
          1                    fb_subp1_write_sectors       24744       24744       24744       24744
          1              l2_subp0_write_sector_misses       24351       24351       24351       24351
          1              l2_subp1_write_sector_misses       24277       24277       24277       24277
          1               l2_subp0_read_sector_misses       79324       79324       79324       79324
          1               l2_subp1_read_sector_misses       79363       79363       79363       79363
          1          l2_subp0_read_tex_sector_queries    40117750    40117750    40117750    40117750
          1          l2_subp1_read_tex_sector_queries    40117996    40117996    40117996    40117996
          1         l2_subp0_write_tex_sector_queries        8218        8218        8218        8218
          1         l2_subp1_write_tex_sector_queries        8051        8051        8051        8051
          1             l2_subp0_read_tex_hit_sectors    40038899    40038899    40038899    40038899
          1             l2_subp1_read_tex_hit_sectors    40039129    40039129    40039129    40039129
          1            l2_subp0_write_tex_hit_sectors        6398        6398        6398        6398
          1            l2_subp1_write_tex_hit_sectors        6202        6202        6202        6202
          1        l2_subp0_total_read_sector_queries    40126220    40126220    40126220    40126220
          1        l2_subp1_total_read_sector_queries    40125704    40125704    40125704    40125704
          1       l2_subp0_total_write_sector_queries       16161       16161       16161       16161
          1       l2_subp1_total_write_sector_queries       15195       15195       15195       15195
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           1           1           1           1
          1      l2_subp1_write_sysmem_sector_queries           4           4           4           4
          1                         elapsed_cycles_sm   752430555   752430555   752430555   752430555
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit    80237446    80237446    80237446    80237446
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit        8732        8732        8732        8732
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit        8387        8387        8387        8387
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched      278656      278656      278656      278656
          1                              inst_issued0  1940831273  1940831273  1940831273  1940831273
