==115363== NVPROF is profiling process 115363, command: ./a.out ../models/club.stl
==115363== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==115363== Profiling application: ./a.out ../models/club.stl
==115363== Profiling result:
==115363== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "TITAN Xp (0)"
    Kernel: pps(triangle*, unsigned long, bool*)
          1                             inst_per_warp                                                 Instructions per warp  2.1254e+05  2.1254e+05  2.1254e+05
          1                         branch_efficiency                                                     Branch Efficiency      91.73%      91.73%      91.73%
          1                 warp_execution_efficiency                                             Warp Execution Efficiency      95.25%      95.25%      95.25%
          1         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      79.17%      79.17%      79.17%
          1                      inst_replay_overhead                                           Instruction Replay Overhead    0.000025    0.000025    0.000025
          1      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    1.795972    1.795972    1.795972
          1     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    2.000000    2.000000    2.000000
          1       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    7.936480    7.936480    7.936480
          1      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    0.000425    0.000425    0.000425
          1              gld_transactions_per_request                                  Global Load Transactions Per Request   31.945211   31.945211   31.945211
          1              gst_transactions_per_request                                 Global Store Transactions Per Request    1.000720    1.000720    1.000720
          1                 shared_store_transactions                                             Shared Store Transactions      867582      867582      867582
          1                  shared_load_transactions                                              Shared Load Transactions   109747917   109747917   109747917
          1                   local_load_transactions                                               Local Load Transactions      200285      200285      200285
          1                  local_store_transactions                                              Local Store Transactions        5199        5199        5199
          1                          gld_transactions                                              Global Load Transactions    13859270    13859270    13859270
          1                          gst_transactions                                             Global Store Transactions       25018       25018       25018
          1                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                                      System Memory Write Transactions           5           5           5
          1                      l2_read_transactions                                                  L2 Read Transactions    13865105    13865105    13865105
          1                     l2_write_transactions                                                 L2 Write Transactions       30278       30278       30278
          1                           global_hit_rate                                     Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          1                            local_hit_rate                                                        Local Hit Rate      97.32%      97.32%      97.32%
          1                  gld_requested_throughput                                      Requested Global Load Throughput  7.9941GB/s  7.9941GB/s  7.9941GB/s
