==419582== NVPROF is profiling process 419582, command: ./fps ../models/club.stl
==419582== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==419582== Profiling application: ./fps ../models/club.stl
==419582== Profiling result:
==419582== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "TITAN Xp (0)"
    Kernel: fps1(triangle*, unsigned long, char*, unsigned long*, int*)
          1                 tex0_cache_sector_queries     6862068     6862068     6862068     6862068
          1                 tex1_cache_sector_queries     6863892     6863892     6863892     6863892
          1                  tex0_cache_sector_misses     6863055     6863055     6863055     6863055
          1                  tex1_cache_sector_misses     6862905     6862905     6862905     6862905
          1                     fb_subp0_read_sectors       11640       11640       11640       11640
          1                     fb_subp1_read_sectors       11532       11532       11532       11532
          1                    fb_subp0_write_sectors        4501        4501        4501        4501
          1                    fb_subp1_write_sectors        4492        4492        4492        4492
          1              l2_subp0_write_sector_misses        4568        4568        4568        4568
          1              l2_subp1_write_sector_misses        4419        4419        4419        4419
          1               l2_subp0_read_sector_misses       11555       11555       11555       11555
          1               l2_subp1_read_sector_misses       11617       11617       11617       11617
          1          l2_subp0_read_tex_sector_queries     6863098     6863098     6863098     6863098
          1          l2_subp1_read_tex_sector_queries     6862810     6862810     6862810     6862810
          1         l2_subp0_write_tex_sector_queries           4           4           4           4
          1         l2_subp1_write_tex_sector_queries          22          22          22          22
          1             l2_subp0_read_tex_hit_sectors     6852169     6852169     6852169     6852169
          1             l2_subp1_read_tex_hit_sectors     6851879     6851879     6851879     6851879
          1            l2_subp0_write_tex_hit_sectors           3           3           3           3
          1            l2_subp1_write_tex_hit_sectors          20          20          20          20
          1        l2_subp0_total_read_sector_queries     6864044     6864044     6864044     6864044
          1        l2_subp1_total_read_sector_queries     6863826     6863826     6863826     6863826
          1       l2_subp0_total_write_sector_queries          27          27          27          27
          1       l2_subp1_total_write_sector_queries          38          38          38          38
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           5           5           5           5
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm  4058431350  4058431350  4058431350  4058431350
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit    13725908    13725908    13725908    13725908
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit          13          13          13          13
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit          13          13          13          13
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched    12142504    12142504    12142504    12142504
          1                              inst_issued0  1.3512e+10  1.3512e+10  1.3512e+10  1.3512e+10
          1                              inst_issued1  2525995852  2525995852  2525995852  2525995852
