==396199== NVPROF is profiling process 396199, command: ./a.out ../models/club.stl
==396199== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==396199== Profiling application: ./a.out ../models/club.stl
==396199== Profiling result:
==396199== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "TITAN Xp (0)"
    Kernel: pps(triangle*, unsigned long, bool*)
          1                 tex0_cache_sector_queries    36620475    36620475    36620475    36620475
          1                 tex1_cache_sector_queries    37482527    37482527    37482527    37482527
          1                  tex0_cache_sector_misses    35362034    35362034    35362034    35362034
          1                  tex1_cache_sector_misses    36276100    36276100    36276100    36276100
          1                     fb_subp0_read_sectors       24090       24090       24090       24090
          1                     fb_subp1_read_sectors       23573       23573       23573       23573
          1                    fb_subp0_write_sectors      184825      184825      184825      184825
          1                    fb_subp1_write_sectors      184667      184667      184667      184667
          1              l2_subp0_write_sector_misses      184325      184325      184325      184325
          1              l2_subp1_write_sector_misses      184133      184133      184133      184133
          1               l2_subp0_read_sector_misses       23919       23919       23919       23919
          1               l2_subp1_read_sector_misses       23744       23744       23744       23744
          1          l2_subp0_read_tex_sector_queries    31138264    31138264    31138264    31138264
          1          l2_subp1_read_tex_sector_queries    31106239    31106239    31106239    31106239
          1         l2_subp0_write_tex_sector_queries     2069465     2069465     2069465     2069465
          1         l2_subp1_write_tex_sector_queries     2088818     2088818     2088818     2088818
          1             l2_subp0_read_tex_hit_sectors    31108990    31108990    31108990    31108990
          1             l2_subp1_read_tex_hit_sectors    31054882    31054882    31054882    31054882
          1            l2_subp0_write_tex_hit_sectors     2052790     2052790     2052790     2052790
          1            l2_subp1_write_tex_hit_sectors     2048191     2048191     2048191     2048191
          1        l2_subp0_total_read_sector_queries    34153410    34153410    34153410    34153410
          1        l2_subp1_total_read_sector_queries    33441543    33441543    33441543    33441543
          1       l2_subp0_total_write_sector_queries     4699259     4699259     4699259     4699259
          1       l2_subp1_total_write_sector_queries     4462103     4462103     4462103     4462103
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries        5824        5824        5824        5824
          1      l2_subp1_write_sysmem_sector_queries           4           4           4           4
          1                         elapsed_cycles_sm  4782888490  4782888490  4782888490  4782888490
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
