==55745== NVPROF is profiling process 55745, command: ./out/fps models/bunny.stl
==55745== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==55745== Profiling application: ./out/fps models/bunny.stl
==55745== Profiling result:
==55745== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "TITAN Xp (0)"
    Kernel: fps2(int*, unsigned long*)
          1                 tex0_cache_sector_queries      256323      256323      256323      256323
          1                 tex1_cache_sector_queries      281357      281357      281357      281357
          1                  tex0_cache_sector_misses      265966      265966      265966      265966
          1                  tex1_cache_sector_misses      223397      223397      223397      223397
          1                     fb_subp0_read_sectors       14350       14350       14350       14350
          1                     fb_subp1_read_sectors       14168       14168       14168       14168
          1                    fb_subp0_write_sectors       41048       41048       41048       41048
          1                    fb_subp1_write_sectors       41338       41338       41338       41338
          1              l2_subp0_write_sector_misses       38741       38741       38741       38741
          1              l2_subp1_write_sector_misses       38583       38583       38583       38583
          1               l2_subp0_read_sector_misses       14330       14330       14330       14330
          1               l2_subp1_read_sector_misses       14188       14188       14188       14188
          1          l2_subp0_read_tex_sector_queries       74419       74419       74419       74419
          1          l2_subp1_read_tex_sector_queries       86413       86413       86413       86413
          1         l2_subp0_write_tex_sector_queries       75687       75687       75687       75687
          1         l2_subp1_write_tex_sector_queries       77308       77308       77308       77308
          1             l2_subp0_read_tex_hit_sectors       61939       61939       61939       61939
          1             l2_subp1_read_tex_hit_sectors       70355       70355       70355       70355
          1            l2_subp0_write_tex_hit_sectors       62002       62002       62002       62002
          1            l2_subp1_write_tex_hit_sectors       62467       62467       62467       62467
          1        l2_subp0_total_read_sector_queries      131830      131830      131830      131830
          1        l2_subp1_total_read_sector_queries      183837      183837      183837      183837
          1       l2_subp0_total_write_sector_queries      129011      129011      129011      129011
          1       l2_subp1_total_write_sector_queries      172307      172307      172307      172307
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           4           4           4           4
          1      l2_subp1_write_sysmem_sector_queries           1           1           1           1
          1                         elapsed_cycles_sm    57759005    57759005    57759005    57759005
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit       19136       19136       19136       19136
          1                            gld_inst_64bit       32768       32768       32768       32768
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit       11323       11323       11323       11323
          1                            gst_inst_64bit           0           0           0           0
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched        1024        1024        1024        1024
          1                              inst_issued0    38317185    38317185    38317185    38317185
          1                              inst_issued1     2631734     2631734     2631734     2631734
          1                              inst_issued2      652575      652575      652575      652575
          1                             inst_executed     3917664     3917664     3917664     3917664
          1                      thread_inst_executed    18608540    18608540    18608540    18608540
          1   not_predicated_off_thread_inst_executed    16831574    16831574    16831574    16831574
          1                             active_cycles    14909763    14909763    14909763    14909763
          1                              active_warps    66892002    66892002    66892002    66892002
          1                               global_load       15180       15180       15180       15180
          1                              global_store        2628        2628        2628        2628
          1                              generic_load       52874       52874       52874       52874
          1                             generic_store       34588       34588       34588       34588
          1                     inst_executed_in_trap           0           0           0           0
          1                     active_cycles_in_trap           0           0           0           0
          1                               local_store       78138       78138       78138       78138
          1                                local_load       42515       42515       42515       42515
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1             inst_executed_shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas       32488       32488       32488       32488
          1                                atom_count           0           0           0           0
          1                                gred_count        2464        2464        2464        2464
          1                          divergent_branch        7323        7323        7323        7323
