==2633809== NVPROF is profiling process 2633809, command: ./mfps ../models/bunny.stl
==2633809== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==2633809== Profiling application: ./mfps ../models/bunny.stl
==2633809== Profiling result:
==2633809== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "TITAN Xp (0)"
    Kernel: mfps(triangle*, unsigned long, char*, unsigned long*, int*)
          1                 tex0_cache_sector_queries     2804958     2804958     2804958     2804958
          1                 tex1_cache_sector_queries     2810725     2810725     2810725     2810725
          1                  tex0_cache_sector_misses     2808491     2808491     2808491     2808491
          1                  tex1_cache_sector_misses     2807022     2807022     2807022     2807022
          1                     fb_subp0_read_sectors       79112       79112       79112       79112
          1                     fb_subp1_read_sectors       79122       79122       79122       79122
          1                    fb_subp0_write_sectors       24048       24048       24048       24048
          1                    fb_subp1_write_sectors       24103       24103       24103       24103
          1              l2_subp0_write_sector_misses       23861       23861       23861       23861
          1              l2_subp1_write_sector_misses       23956       23956       23956       23956
          1               l2_subp0_read_sector_misses       79087       79087       79087       79087
          1               l2_subp1_read_sector_misses       79147       79147       79147       79147
          1          l2_subp0_read_tex_sector_queries     2650304     2650304     2650304     2650304
          1          l2_subp1_read_tex_sector_queries     2645440     2645440     2645440     2645440
          1         l2_subp0_write_tex_sector_queries      141411      141411      141411      141411
          1         l2_subp1_write_tex_sector_queries      138525      138525      138525      138525
          1             l2_subp0_read_tex_hit_sectors     2571304     2571304     2571304     2571304
          1             l2_subp1_read_tex_hit_sectors     2566400     2566400     2566400     2566400
          1            l2_subp0_write_tex_hit_sectors      139347      139347      139347      139347
          1            l2_subp1_write_tex_hit_sectors      136448      136448      136448      136448
          1        l2_subp0_total_read_sector_queries     2671335     2671335     2671335     2671335
          1        l2_subp1_total_read_sector_queries     2665421     2665421     2665421     2665421
          1       l2_subp0_total_write_sector_queries      161965      161965      161965      161965
          1       l2_subp1_total_write_sector_queries      157968      157968      157968      157968
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           1           1           1           1
          1      l2_subp1_write_sysmem_sector_queries           4           4           4           4
          1                         elapsed_cycles_sm   283711670   283711670   283711670   283711670
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit     5295744     5295744     5295744     5295744
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit      139968      139968      139968      139968
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit      139968      139968      139968      139968
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched     4458496     4458496     4458496     4458496
