==3710704== NVPROF is profiling process 3710704, command: ./mfps-8 ../models/bunny.stl
==3710704== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==3710704== Profiling application: ./mfps-8 ../models/bunny.stl
==3710704== Profiling result:
==3710704== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "TITAN Xp (0)"
    Kernel: mfps(triangle*, unsigned long, char*, unsigned long*, int*)
          1                             inst_per_warp                                                 Instructions per warp  416.158846  416.158846  416.158846
          1                         branch_efficiency                                                     Branch Efficiency     100.00%     100.00%     100.00%
          1                 warp_execution_efficiency                                             Warp Execution Efficiency      99.96%      99.96%      99.96%
          1         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      96.57%      96.57%      96.57%
          1                      inst_replay_overhead                                           Instruction Replay Overhead    0.000112    0.000112    0.000112
          1      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                                  Global Load Transactions Per Request   31.958258   31.958258   31.958258
          1              gst_transactions_per_request                                 Global Store Transactions Per Request    1.002060    1.002060    1.002060
          1                 shared_store_transactions                                             Shared Store Transactions           0           0           0
          1                  shared_load_transactions                                              Shared Load Transactions           0           0           0
          1                   local_load_transactions                                               Local Load Transactions           0           0           0
          1                  local_store_transactions                                              Local Store Transactions           0           0           0
          1                          gld_transactions                                              Global Load Transactions  2569212290  2569212290  2569212290
          1                          gst_transactions                                             Global Store Transactions      140064      140064      140064
          1                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                                      System Memory Write Transactions           5           5           5
          1                      l2_read_transactions                                                  L2 Read Transactions    80419136    80419136    80419136
          1                     l2_write_transactions                                                 L2 Write Transactions      158284      158284      158284
          1                           global_hit_rate                                     Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          1                            local_hit_rate                                                        Local Hit Rate       0.00%       0.00%       0.00%
          1                  gld_requested_throughput                                      Requested Global Load Throughput  2.3519GB/s  2.3519GB/s  2.3519GB/s
          1                  gst_requested_throughput                                     Requested Global Store Throughput  2.3602MB/s  2.3602MB/s  2.3602MB/s
          1                            gld_throughput                                                Global Load Throughput  9.4078GB/s  9.4078GB/s  9.4078GB/s
          1                            gst_throughput                                               Global Store Throughput  16.784MB/s  16.784MB/s  16.784MB/s
          1                     local_memory_overhead                                                 Local Memory Overhead       0.00%       0.00%       0.00%
          1                        tex_cache_hit_rate                                                Unified Cache Hit Rate      74.94%      74.94%      74.94%
          1                      l2_tex_read_hit_rate                                           L2 Hit Rate (Texture Reads)      99.80%      99.80%      99.80%
          1                     l2_tex_write_hit_rate                                          L2 Hit Rate (Texture Writes)      97.40%      97.40%      97.40%
          1                      tex_cache_throughput                                              Unified Cache Throughput  75.166GB/s  75.166GB/s  75.166GB/s
