==56790== NVPROF is profiling process 56790, command: ./out/mfps models/bunny.stl
==56790== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==56790== Profiling application: ./out/mfps models/bunny.stl
==56790== Profiling result:
==56790== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "TITAN Xp (0)"
    Kernel: fps2(int*, unsigned long*)
          1                 tex0_cache_sector_queries      267545      267545      267545      267545
          1                 tex1_cache_sector_queries      259840      259840      259840      259840
          1                  tex0_cache_sector_misses      239739      239739      239739      239739
          1                  tex1_cache_sector_misses      243336      243336      243336      243336
          1                     fb_subp0_read_sectors       14225       14225       14225       14225
          1                     fb_subp1_read_sectors       14223       14223       14223       14223
          1                    fb_subp0_write_sectors       41727       41727       41727       41727
          1                    fb_subp1_write_sectors       41282       41282       41282       41282
          1              l2_subp0_write_sector_misses       39207       39207       39207       39207
          1              l2_subp1_write_sector_misses       38840       38840       38840       38840
          1               l2_subp0_read_sector_misses       14262       14262       14262       14262
          1               l2_subp1_read_sector_misses       14186       14186       14186       14186
          1          l2_subp0_read_tex_sector_queries       77299       77299       77299       77299
          1          l2_subp1_read_tex_sector_queries       82032       82032       82032       82032
          1         l2_subp0_write_tex_sector_queries       77961       77961       77961       77961
          1         l2_subp1_write_tex_sector_queries       75904       75904       75904       75904
          1             l2_subp0_read_tex_hit_sectors       62998       62998       62998       62998
          1             l2_subp1_read_tex_hit_sectors       69526       69526       69526       69526
          1            l2_subp0_write_tex_hit_sectors       59760       59760       59760       59760
          1            l2_subp1_write_tex_hit_sectors       61461       61461       61461       61461
          1        l2_subp0_total_read_sector_queries      122468      122468      122468      122468
          1        l2_subp1_total_read_sector_queries      190200      190200      190200      190200
          1       l2_subp0_total_write_sector_queries      127584      127584      127584      127584
          1       l2_subp1_total_write_sector_queries      171269      171269      171269      171269
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           4           4           4           4
          1      l2_subp1_write_sysmem_sector_queries           1           1           1           1
          1                         elapsed_cycles_sm    56947975    56947975    56947975    56947975
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit       19136       19136       19136       19136
          1                            gld_inst_64bit       32768       32768       32768       32768
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit       11323       11323       11323       11323
          1                            gst_inst_64bit           0           0           0           0
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched        1024        1024        1024        1024
          1                              inst_issued0    39679212    39679212    39679212    39679212
          1                              inst_issued1     2650962     2650962     2650962     2650962
          1                              inst_issued2      658025      658025      658025      658025
          1                             inst_executed     3965855     3965855     3965855     3965855
          1                      thread_inst_executed    18906704    18906704    18906704    18906704
          1   not_predicated_off_thread_inst_executed    17220488    17220488    17220488    17220488
          1                             active_cycles    14837014    14837014    14837014    14837014
          1                              active_warps    68613696    68613696    68613696    68613696
          1                               global_load       16067       16067       16067       16067
          1                              global_store        2626        2626        2626        2626
          1                              generic_load       53542       53542       53542       53542
          1                             generic_store       34470       34470       34470       34470
          1                     inst_executed_in_trap           0           0           0           0
          1                     active_cycles_in_trap           0           0           0           0
          1                               local_store       69824       69824       69824       69824
          1                                local_load       40290       40290       40290       40290
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1             inst_executed_shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas       32332       32332       32332       32332
          1                                atom_count           0           0           0           0
          1                                gred_count        2463        2463        2463        2463
          1                          divergent_branch        7304        7304        7304        7304
