==56598== NVPROF is profiling process 56598, command: ./out/ofps models/bunny.stl
==56598== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==56598== Profiling application: ./out/ofps models/bunny.stl
==56598== Profiling result:
==56598== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "TITAN Xp (0)"
    Kernel: fps2(int*, unsigned long*)
          1                 tex0_cache_sector_queries      271053      271053      271053      271053
          1                 tex1_cache_sector_queries      267577      267577      267577      267577
          1                  tex0_cache_sector_misses      235673      235673      235673      235673
          1                  tex1_cache_sector_misses      250301      250301      250301      250301
          1                     fb_subp0_read_sectors       14639       14639       14639       14639
          1                     fb_subp1_read_sectors       14223       14223       14223       14223
          1                    fb_subp0_write_sectors       42171       42171       42171       42171
          1                    fb_subp1_write_sectors       40969       40969       40969       40969
          1              l2_subp0_write_sector_misses       38987       38987       38987       38987
          1              l2_subp1_write_sector_misses       38995       38995       38995       38995
          1               l2_subp0_read_sector_misses       14336       14336       14336       14336
          1               l2_subp1_read_sector_misses       14526       14526       14526       14526
          1          l2_subp0_read_tex_sector_queries       75005       75005       75005       75005
          1          l2_subp1_read_tex_sector_queries       88528       88528       88528       88528
          1         l2_subp0_write_tex_sector_queries       72398       72398       72398       72398
          1         l2_subp1_write_tex_sector_queries       71295       71295       71295       71295
          1             l2_subp0_read_tex_hit_sectors       61471       61471       61471       61471
          1             l2_subp1_read_tex_hit_sectors       70741       70741       70741       70741
          1            l2_subp0_write_tex_hit_sectors       60627       60627       60627       60627
          1            l2_subp1_write_tex_hit_sectors       57711       57711       57711       57711
          1        l2_subp0_total_read_sector_queries      133930      133930      133930      133930
          1        l2_subp1_total_read_sector_queries      188205      188205      188205      188205
          1       l2_subp0_total_write_sector_queries      125562      125562      125562      125562
          1       l2_subp1_total_write_sector_queries      174350      174350      174350      174350
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           4           4           4           4
          1      l2_subp1_write_sysmem_sector_queries           1           1           1           1
          1                         elapsed_cycles_sm    56756010    56756010    56756010    56756010
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit       19136       19136       19136       19136
          1                            gld_inst_64bit       32768       32768       32768       32768
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit       11323       11323       11323       11323
          1                            gst_inst_64bit           0           0           0           0
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched        1024        1024        1024        1024
          1                              inst_issued0    38744440    38744440    38744440    38744440
          1                              inst_issued1     2679855     2679855     2679855     2679855
          1                              inst_issued2      665573      665573      665573      665573
          1                             inst_executed     3911436     3911436     3911436     3911436
          1                      thread_inst_executed    18752526    18752526    18752526    18752526
          1   not_predicated_off_thread_inst_executed    17311692    17311692    17311692    17311692
          1                             active_cycles    14993682    14993682    14993682    14993682
          1                              active_warps    65977542    65977542    65977542    65977542
          1                               global_load       15030       15030       15030       15030
          1                              global_store        2628        2628        2628        2628
          1                              generic_load       52744       52744       52744       52744
          1                             generic_store       34446       34446       34446       34446
          1                     inst_executed_in_trap           0           0           0           0
          1                     active_cycles_in_trap           0           0           0           0
          1                               local_store       72279       72279       72279       72279
          1                                local_load       41231       41231       41231       41231
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1             inst_executed_shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas       32873       32873       32873       32873
          1                                atom_count           0           0           0           0
          1                                gred_count        2463        2463        2463        2463
          1                          divergent_branch        7298        7298        7298        7298
