==54805== NVPROF is profiling process 54805, command: ./out/pps models/bunny.stl
==54805== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==54805== Profiling application: ./out/pps models/bunny.stl
==54805== Profiling result:
==54805== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "TITAN Xp (0)"
    Kernel: pps(triangle*, unsigned long, bool*)
          1                 tex0_cache_sector_queries    40646260    40646260    40646260    40646260
          1                 tex1_cache_sector_queries    40654175    40654175    40654175    40654175
          1                  tex0_cache_sector_misses    40730741    40730741    40730741    40730741
          1                  tex1_cache_sector_misses    40694104    40694104    40694104    40694104
          1                     fb_subp0_read_sectors      243417      243417      243417      243417
          1                     fb_subp1_read_sectors      243298      243298      243298      243298
          1                    fb_subp0_write_sectors       86683       86683       86683       86683
          1                    fb_subp1_write_sectors       86542       86542       86542       86542
          1              l2_subp0_write_sector_misses       85673       85673       85673       85673
          1              l2_subp1_write_sector_misses       85382       85382       85382       85382
          1               l2_subp0_read_sector_misses      243395      243395      243395      243395
          1               l2_subp1_read_sector_misses      243320      243320      243320      243320
          1          l2_subp0_read_tex_sector_queries    40177043    40177043    40177043    40177043
          1          l2_subp1_read_tex_sector_queries    40176716    40176716    40176716    40176716
          1         l2_subp0_write_tex_sector_queries       89192       89192       89192       89192
          1         l2_subp1_write_tex_sector_queries       88562       88562       88562       88562
          1             l2_subp0_read_tex_hit_sectors    39943755    39943755    39943755    39943755
          1             l2_subp1_read_tex_hit_sectors    39942350    39942350    39942350    39942350
          1            l2_subp0_write_tex_hit_sectors       67615       67615       67615       67615
          1            l2_subp1_write_tex_hit_sectors       69277       69277       69277       69277
          1        l2_subp0_total_read_sector_queries    40329924    40329924    40329924    40329924
          1        l2_subp1_total_read_sector_queries    40403269    40403269    40403269    40403269
          1       l2_subp0_total_write_sector_queries      262055      262055      262055      262055
          1       l2_subp1_total_write_sector_queries      381801      381801      381801      381801
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           4           4           4           4
          1      l2_subp1_write_sysmem_sector_queries           1           1           1           1
          1                         elapsed_cycles_sm  8863977030  8863977030  8863977030  8863977030
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
