==419508== NVPROF is profiling process 419508, command: ./fps ../models/ring.stl
==419508== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==419508== Profiling application: ./fps ../models/ring.stl
==419508== Profiling result:
==419508== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "TITAN Xp (0)"
    Kernel: fps1(triangle*, unsigned long, char*, unsigned long*, int*)
          1                 tex0_cache_sector_queries     6819864     6819864     6819864     6819864
          1                 tex1_cache_sector_queries     6821610     6821610     6821610     6821610
          1                  tex0_cache_sector_misses     6821073     6821073     6821073     6821073
          1                  tex1_cache_sector_misses     6820401     6820401     6820401     6820401
          1                     fb_subp0_read_sectors       11497       11497       11497       11497
          1                     fb_subp1_read_sectors       11397       11397       11397       11397
          1                    fb_subp0_write_sectors        4724        4724        4724        4724
          1                    fb_subp1_write_sectors        4884        4884        4884        4884
          1              l2_subp0_write_sector_misses        4768        4768        4768        4768
          1              l2_subp1_write_sector_misses        4836        4836        4836        4836
          1               l2_subp0_read_sector_misses       11438       11438       11438       11438
          1               l2_subp1_read_sector_misses       11456       11456       11456       11456
          1          l2_subp0_read_tex_sector_queries     6820207     6820207     6820207     6820207
          1          l2_subp1_read_tex_sector_queries     6818190     6818190     6818190     6818190
          1         l2_subp0_write_tex_sector_queries         830         830         830         830
          1         l2_subp1_write_tex_sector_queries         713         713         713         713
          1             l2_subp0_read_tex_hit_sectors     6809306     6809306     6809306     6809306
          1             l2_subp1_read_tex_hit_sectors     6807306     6807306     6807306     6807306
          1            l2_subp0_write_tex_hit_sectors         767         767         767         767
          1            l2_subp1_write_tex_hit_sectors         646         646         646         646
          1        l2_subp0_total_read_sector_queries     6822661     6822661     6822661     6822661
          1        l2_subp1_total_read_sector_queries     6820694     6820694     6820694     6820694
          1       l2_subp0_total_write_sector_queries        1671        1671        1671        1671
          1       l2_subp1_total_write_sector_queries        1565        1565        1565        1565
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           5           5           5           5
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm  4021588505  4021588505  4021588505  4021588505
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit    13638415    13638415    13638415    13638415
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit         776         776         776         776
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit         776         776         776         776
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched    12063752    12063752    12063752    12063752
          1                              inst_issued0  1.3382e+10  1.3382e+10  1.3382e+10  1.3382e+10
