==2546726== NVPROF is profiling process 2546726, command: ./fps ../models/ring.stl
==2546726== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==2546726== Profiling application: ./fps ../models/ring.stl
==2546726== Profiling result:
==2546726== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "TITAN Xp (0)"
    Kernel: fps1(triangle*, unsigned long, char*, unsigned long*, int*)
          1                 tex0_cache_sector_queries     5561249     5561249     5561249     5561249
          1                 tex1_cache_sector_queries     5561314     5561314     5561314     5561314
          1                  tex0_cache_sector_misses     5561388     5561388     5561388     5561388
          1                  tex1_cache_sector_misses     5561175     5561175     5561175     5561175
          1                     fb_subp0_read_sectors       11952       11952       11952       11952
          1                     fb_subp1_read_sectors       11842       11842       11842       11842
          1                    fb_subp0_write_sectors        4910        4910        4910        4910
          1                    fb_subp1_write_sectors        4833        4833        4833        4833
          1              l2_subp0_write_sector_misses        4860        4860        4860        4860
          1              l2_subp1_write_sector_misses        4877        4877        4877        4877
          1               l2_subp0_read_sector_misses       11864       11864       11864       11864
          1               l2_subp1_read_sector_misses       11930       11930       11930       11930
          1          l2_subp0_read_tex_sector_queries     5560460     5560460     5560460     5560460
          1          l2_subp1_read_tex_sector_queries     5559026     5559026     5559026     5559026
          1         l2_subp0_write_tex_sector_queries         780         780         780         780
          1         l2_subp1_write_tex_sector_queries         763         763         763         763
          1             l2_subp0_read_tex_hit_sectors     5549563     5549563     5549563     5549563
          1             l2_subp1_read_tex_hit_sectors     5548138     5548138     5548138     5548138
          1            l2_subp0_write_tex_hit_sectors         712         712         712         712
          1            l2_subp1_write_tex_hit_sectors         697         697         697         697
          1        l2_subp0_total_read_sector_queries     5561936     5561936     5561936     5561936
          1        l2_subp1_total_read_sector_queries     5560524     5560524     5560524     5560524
          1       l2_subp0_total_write_sector_queries        1577        1577        1577        1577
          1       l2_subp1_total_write_sector_queries        1513        1513        1513        1513
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           5           5           5           5
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm  3293418975  3293418975  3293418975  3293418975
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit    11119504    11119504    11119504    11119504
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit         776         776         776         776
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit         776         776         776         776
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched     9882624     9882624     9882624     9882624
          1                              inst_issued0  1.1996e+10  1.1996e+10  1.1996e+10  1.1996e+10
