==1421840== NVPROF is profiling process 1421840, command: ./newAlgo ../models/ring.stl
==1421840== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==1421840== Profiling application: ./newAlgo ../models/ring.stl
==1421840== Profiling result:
==1421840== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "TITAN Xp (0)"
    Kernel: outputArray(triangle*, int*, int*, int*, int*)
          1                 tex0_cache_sector_queries     4337697     4337697     4337697     4337697
          1                 tex1_cache_sector_queries     4334774     4334774     4334774     4334774
          1                  tex0_cache_sector_misses     4241268     4241268     4241268     4241268
          1                  tex1_cache_sector_misses     4250845     4250845     4250845     4250845
          1                     fb_subp0_read_sectors       17974       17974       17974       17974
          1                     fb_subp1_read_sectors       18036       18036       18036       18036
          1                    fb_subp0_write_sectors       23180       23180       23180       23180
          1                    fb_subp1_write_sectors       22935       22935       22935       22935
          1              l2_subp0_write_sector_misses       23089       23089       23089       23089
          1              l2_subp1_write_sector_misses       23000       23000       23000       23000
          1               l2_subp0_read_sector_misses       17984       17984       17984       17984
          1               l2_subp1_read_sector_misses       18026       18026       18026       18026
          1          l2_subp0_read_tex_sector_queries     3985685     3985685     3985685     3985685
          1          l2_subp1_read_tex_sector_queries     4006430     4006430     4006430     4006430
          1         l2_subp0_write_tex_sector_queries      125104      125104      125104      125104
          1         l2_subp1_write_tex_sector_queries      124896      124896      124896      124896
          1             l2_subp0_read_tex_hit_sectors     3968046     3968046     3968046     3968046
          1             l2_subp1_read_tex_hit_sectors     3988792     3988792     3988792     3988792
          1            l2_subp0_write_tex_hit_sectors      105104      105104      105104      105104
          1            l2_subp1_write_tex_hit_sectors      104896      104896      104896      104896
          1        l2_subp0_total_read_sector_queries     3985973     3985973     3985973     3985973
          1        l2_subp1_total_read_sector_queries     4006724     4006724     4006724     4006724
          1       l2_subp0_total_write_sector_queries      125105      125105      125105      125105
          1       l2_subp1_total_write_sector_queries      124908      124908      124908      124908
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           1           1           1           1
          1      l2_subp1_write_sysmem_sector_queries           4           4           4           4
          1                         elapsed_cycles_sm   549372295   549372295   549372295   549372295
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit     1643840     1643840     1643840     1643840
          1                            gld_inst_64bit     7861932     7861932     7861932     7861932
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit     1999923     1999923     1999923     1999923
          1                            gst_inst_64bit           0           0           0           0
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched        1256        1256        1256        1256
          1                              inst_issued0  1775045169  1775045169  1775045169  1775045169
          1                              inst_issued1   119435686   119435686   119435686   119435686
          1                              inst_issued2    14966106    14966106    14966106    14966106
          1                             inst_executed   149360228   149360228   149360228   149360228
          1                      thread_inst_executed  4622979376  4622979376  4622979376  4622979376
          1   not_predicated_off_thread_inst_executed  4362692408  4362692408  4362692408  4362692408
          1                             active_cycles   481562916   481562916   481562916   481562916
          1                              active_warps  1.0051e+10  1.0051e+10  1.0051e+10  1.0051e+10
          1                               global_load      302938      302938      302938      302938
          1                              global_store       62500       62500       62500       62500
          1                              generic_load           0           0           0           0
          1                             generic_store           0           0           0           0
          1                     inst_executed_in_trap           0           0           0           0
          1                     active_cycles_in_trap           0           0           0           0
          1                               local_store           0           0           0           0
          1                                local_load           0           0           0           0
          1                               shared_load    24782100    24782100    24782100    24782100
          1                              shared_store      251514      251514      251514      251514
          1             inst_executed_shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                          divergent_branch           0           0           0           0
          1                                    branch    20795866    20795866    20795866    20795866
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                    shared_ld_transactions    45565255    45565255    45565255    45565255
          1                    shared_st_transactions      503028      503028      503028      503028
          1                          active_cycles_pm   480931991   480931991   480931991   480931991
          1                           active_warps_pm  1.0099e+10  1.0099e+10  1.0099e+10  1.0099e+10
          1                         elapsed_cycles_pm   550218120   550218120   550218120   550218120

==1421840== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "TITAN Xp (0)"
    Kernel: outputArray(triangle*, int*, int*, int*, int*)
          1                             inst_per_warp                                                 Instructions per warp  1.1891e+05  1.1891e+05  1.1891e+05
          1                         branch_efficiency                                                     Branch Efficiency     100.00%     100.00%     100.00%
          1                 warp_execution_efficiency                                             Warp Execution Efficiency      96.73%      96.73%      96.73%
          1         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      91.28%      91.28%      91.28%
          1                      inst_replay_overhead                                           Instruction Replay Overhead    0.000033    0.000033    0.000033
          1      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    1.838636    1.838636    1.838636
          1     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    2.000000    2.000000    2.000000
          1       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                                  Global Load Transactions Per Request   28.871525   28.871525   28.871525
          1              gst_transactions_per_request                                 Global Store Transactions Per Request    4.000000    4.000000    4.000000
          1                 shared_store_transactions                                             Shared Store Transactions      503028      503028      503028
          1                  shared_load_transactions                                              Shared Load Transactions    45565255    45565255    45565255
          1                   local_load_transactions                                               Local Load Transactions           0           0           0
          1                  local_store_transactions                                              Local Store Transactions           0           0           0
          1                          gld_transactions                                              Global Load Transactions     8746282     8746282     8746282
          1                          gst_transactions                                             Global Store Transactions      250000      250000      250000
          1                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                                      System Memory Write Transactions           5           5           5
          1                      l2_read_transactions                                                  L2 Read Transactions     7992697     7992697     7992697
          1                     l2_write_transactions                                                 L2 Write Transactions      250013      250013      250013
          1                           global_hit_rate                                     Global Hit Rate in unified l1/tex       2.21%       2.21%       2.21%
          1                            local_hit_rate                                                        Local Hit Rate       0.00%       0.00%       0.00%
          1                  gld_requested_throughput                                      Requested Global Load Throughput  6.3679GB/s  6.3679GB/s  6.3679GB/s
          1                  gst_requested_throughput                                     Requested Global Store Throughput  786.12MB/s  786.12MB/s  786.12MB/s
          1                            gld_throughput                                                Global Load Throughput  24.543GB/s  24.543GB/s  24.543GB/s
          1                            gst_throughput                                               Global Store Throughput  786.15MB/s  786.15MB/s  786.15MB/s
          1                     local_memory_overhead                                                 Local Memory Overhead       0.00%       0.00%       0.00%
