==396219== NVPROF is profiling process 396219, command: ./a.out ../models/ring.stl
==396219== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==396219== Profiling application: ./a.out ../models/ring.stl
==396219== Profiling result:
==396219== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "TITAN Xp (0)"
    Kernel: pps(triangle*, unsigned long, bool*)
          1                 tex0_cache_sector_queries    27094600    27094600    27094600    27094600
          1                 tex1_cache_sector_queries    27711476    27711476    27711476    27711476
          1                  tex0_cache_sector_misses    27399990    27399990    27399990    27399990
          1                  tex1_cache_sector_misses    27399387    27399387    27399387    27399387
          1                     fb_subp0_read_sectors       12642       12642       12642       12642
          1                     fb_subp1_read_sectors       12414       12414       12414       12414
          1                    fb_subp0_write_sectors       61053       61053       61053       61053
          1                    fb_subp1_write_sectors       60957       60957       60957       60957
          1              l2_subp0_write_sector_misses       60922       60922       60922       60922
          1              l2_subp1_write_sector_misses       61000       61000       61000       61000
          1               l2_subp0_read_sector_misses       12494       12494       12494       12494
          1               l2_subp1_read_sector_misses       12562       12562       12562       12562
          1          l2_subp0_read_tex_sector_queries    27150233    27150233    27150233    27150233
          1          l2_subp1_read_tex_sector_queries    27142497    27142497    27142497    27142497
          1         l2_subp0_write_tex_sector_queries       64894       64894       64894       64894
          1         l2_subp1_write_tex_sector_queries       64711       64711       64711       64711
          1             l2_subp0_read_tex_hit_sectors    27138571    27138571    27138571    27138571
          1             l2_subp1_read_tex_hit_sectors    27130722    27130722    27130722    27130722
          1            l2_subp0_write_tex_hit_sectors       49928       49928       49928       49928
          1            l2_subp1_write_tex_hit_sectors       49913       49913       49913       49913
          1        l2_subp0_total_read_sector_queries    27158621    27158621    27158621    27158621
          1        l2_subp1_total_read_sector_queries    27147684    27147684    27147684    27147684
          1       l2_subp0_total_write_sector_queries       68533       68533       68533       68533
          1       l2_subp1_total_write_sector_queries       64757       64757       64757       64757
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           9           9           9           9
          1      l2_subp1_write_sysmem_sector_queries           4           4           4           4
          1                         elapsed_cycles_sm  4511615845  4511615845  4511615845  4511615845
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
