==465667== NVPROF is profiling process 465667, command: ./out/second models/bunny.stl
==465667== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==465667== Profiling application: ./out/second models/bunny.stl
==465667== Profiling result:
==465667== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "TITAN Xp (0)"
    Kernel: largeTriIntersection(triangle*, unsigned long, int*, unsigned long*)
          1                 tex0_cache_sector_queries       42953       42953       42953       42953
          1                 tex1_cache_sector_queries       43014       43014       43014       43014
          1                  tex0_cache_sector_misses       38796       38796       38796       38796
          1                  tex1_cache_sector_misses       42265       42265       42265       42265
          1                     fb_subp0_read_sectors        1114        1114        1114        1114
          1                     fb_subp1_read_sectors        1101        1101        1101        1101
          1                    fb_subp0_write_sectors        5190        5190        5190        5190
          1                    fb_subp1_write_sectors        5243        5243        5243        5243
          1              l2_subp0_write_sector_misses        5046        5046        5046        5046
          1              l2_subp1_write_sector_misses        5385        5385        5385        5385
          1               l2_subp0_read_sector_misses        1084        1084        1084        1084
          1               l2_subp1_read_sector_misses        1131        1131        1131        1131
          1          l2_subp0_read_tex_sector_queries       32581       32581       32581       32581
          1          l2_subp1_read_tex_sector_queries       35155       35155       35155       35155
          1         l2_subp0_write_tex_sector_queries        6185        6185        6185        6185
          1         l2_subp1_write_tex_sector_queries        6376        6376        6376        6376
          1             l2_subp0_read_tex_hit_sectors       31670       31670       31670       31670
          1             l2_subp1_read_tex_hit_sectors       33850       33850       33850       33850
          1            l2_subp0_write_tex_hit_sectors        5958        5958        5958        5958
          1            l2_subp1_write_tex_hit_sectors        5996        5996        5996        5996
          1        l2_subp0_total_read_sector_queries       39047       39047       39047       39047
          1        l2_subp1_total_read_sector_queries       39342       39342       39342       39342
          1       l2_subp0_total_write_sector_queries        9336        9336        9336        9336
          1       l2_subp1_total_write_sector_queries        7244        7244        7244        7244
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           1           1           1           1
          1      l2_subp1_write_sysmem_sector_queries          62          62          62          62
          1                         elapsed_cycles_sm    22977700    22977700    22977700    22977700
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit       62208       62208       62208       62208
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit          84          84          84          84
          1                            gst_inst_64bit       32768       32768       32768       32768
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
