==484004== NVPROF is profiling process 484004, command: ./out/second models/husky.stl
==484004== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==484004== Profiling application: ./out/second models/husky.stl
==484004== Profiling result:
==484004== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "TITAN Xp (0)"
    Kernel: largeTriIntersection(triangle*, unsigned long, int*, unsigned long*)
          1                 tex0_cache_sector_queries        4096        4096        4096        4096
          1                 tex1_cache_sector_queries        4096        4096        4096        4096
          1                  tex0_cache_sector_misses        4096        4096        4096        4096
          1                  tex1_cache_sector_misses        4096        4096        4096        4096
          1                     fb_subp0_read_sectors           0           0           0           0
          1                     fb_subp1_read_sectors           0           0           0           0
          1                    fb_subp0_write_sectors           0           0           0           0
          1                    fb_subp1_write_sectors           0           0           0           0
          1              l2_subp0_write_sector_misses           0           0           0           0
          1              l2_subp1_write_sector_misses           0           0           0           0
          1               l2_subp0_read_sector_misses           0           0           0           0
          1               l2_subp1_read_sector_misses           0           0           0           0
          1          l2_subp0_read_tex_sector_queries           0           0           0           0
          1          l2_subp1_read_tex_sector_queries           0           0           0           0
          1         l2_subp0_write_tex_sector_queries        4096        4096        4096        4096
          1         l2_subp1_write_tex_sector_queries        4096        4096        4096        4096
          1             l2_subp0_read_tex_hit_sectors           0           0           0           0
          1             l2_subp1_read_tex_hit_sectors           0           0           0           0
          1            l2_subp0_write_tex_hit_sectors        4096        4096        4096        4096
          1            l2_subp1_write_tex_hit_sectors        4096        4096        4096        4096
          1        l2_subp0_total_read_sector_queries          48          48          48          48
          1        l2_subp1_total_read_sector_queries          48          48          48          48
          1       l2_subp0_total_write_sector_queries        4097        4097        4097        4097
          1       l2_subp1_total_write_sector_queries        4108        4108        4108        4108
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           1           1           1           1
          1      l2_subp1_write_sysmem_sector_queries           4           4           4           4
          1                         elapsed_cycles_sm      194270      194270      194270      194270
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit           0           0           0           0
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit       32768       32768       32768       32768
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
