==626892== NVPROF is profiling process 626892, command: ./out/second-main models/muscel.stl
==626892== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==626892== Profiling application: ./out/second-main models/muscel.stl
==626892== Profiling result:
==626892== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "TITAN Xp (0)"
    Kernel: void cub::DeviceRadixSortUpsweepKernel<cub::DeviceRadixSortPolicy<double, triangle, int>::Policy700, bool=0, bool=0, double, int>(cub::DeviceRadixSortPolicy<double, triangle, int>::Policy700 const *, bool=0*, cub::DeviceRadixSortPolicy<double, triangle, int>::Policy700 const *, int, int, cub::GridEvenShare<cub::DeviceRadixSortPolicy<double, triangle, int>::Policy700 const *>)
          4                 tex0_cache_sector_queries      258552      261176      260183     1040733
          4                 tex1_cache_sector_queries      259165      261789      260157     1040631
          4                  tex0_cache_sector_misses      258557      262104      260586     1042346
          4                  tex1_cache_sector_misses      258237      261784      259754     1039018
          4                     fb_subp0_read_sectors      241112      241133      241122      964490
          4                     fb_subp1_read_sectors      241110      241131      241120      964482
          4                    fb_subp0_write_sectors       22638       22870       22752       91010
          4                    fb_subp1_write_sectors       22615       22845       22733       90933
          4              l2_subp0_write_sector_misses       22508       22703       22611       90445
          4              l2_subp1_write_sector_misses       22496       22706       22601       90406
          4               l2_subp0_read_sector_misses      241119      241119      241119      964476
          4               l2_subp1_read_sector_misses      241124      241124      241124      964496
          4          l2_subp0_read_tex_sector_queries      240973      240973      240973      963892
          4          l2_subp1_read_tex_sector_queries      240968      240968      240968      963872
          4         l2_subp0_write_tex_sector_queries       19200       19200       19200       76800
          4         l2_subp1_write_tex_sector_queries       19200       19200       19200       76800
          4             l2_subp0_read_tex_hit_sectors           0           0           0           0
          4             l2_subp1_read_tex_hit_sectors           0           0           0           0
          4            l2_subp0_write_tex_hit_sectors       18499       18499       18499       73996
          4            l2_subp1_write_tex_hit_sectors       18477       18477       18477       73908
          4        l2_subp0_total_read_sector_queries      241762      241762      241762      967048
          4        l2_subp1_total_read_sector_queries      241802      241810      241806      967224
          4       l2_subp0_total_write_sector_queries       19221       19221       19221       76884
          4       l2_subp1_total_write_sector_queries       19208       19208       19208       76832
          4       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          4       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          4      l2_subp0_write_sysmem_sector_queries           5           5           5          20
          4      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          4                         elapsed_cycles_sm     3040665     3150200     3101065    12404260
          4                             gld_inst_8bit           0           0           0           0
          4                            gld_inst_16bit           0           0           0           0
          4                            gld_inst_32bit           0           0           0           0
          4                            gld_inst_64bit     1927762     1927762     1927762     7711048
          4                           gld_inst_128bit           0           0           0           0
          4                             gst_inst_8bit           0           0           0           0
          4                            gst_inst_16bit           0           0           0           0
          4                            gst_inst_32bit       38400       38400       38400      153600
          4                            gst_inst_64bit           0           0           0           0
          4                           gst_inst_128bit           0           0           0           0
          4                           prof_trigger_00           0           0           0           0
          4                           prof_trigger_01           0           0           0           0
          4                           prof_trigger_02           0           0           0           0
          4                           prof_trigger_03           0           0           0           0
          4                           prof_trigger_04           0           0           0           0
          4                           prof_trigger_05           0           0           0           0
          4                           prof_trigger_06           0           0           0           0
          4                           prof_trigger_07           0           0           0           0
          4                            warps_launched        1500        1500        1500        6000
          4                              inst_issued0     9545201     9729495     9641108    38564434
          4                              inst_issued1     1854621     1855056     1854831     7419325
          4                              inst_issued2      160439      160490      160461      641847
          4                             inst_executed     2173969     2173969     2173969     8695876
          4                      thread_inst_executed    69566336    69566336    69566336   278265344
          4   not_predicated_off_thread_inst_executed    69007772    69007772    69007772   276031088
          4                             active_cycles     2851865     2961842     2913042    11652169
          4                              active_warps    50727216    52918610    51900195   207600782
          4                               global_load       60243       60243       60243      240972
          4                              global_store        1200        1200        1200        4800
          4                              generic_load           0           0           0           0
          4                             generic_store           0           0           0           0
          4                     inst_executed_in_trap           0           0           0           0
          4                     active_cycles_in_trap           0           0           0           0
          4                               local_store           0           0           0           0
          4                                local_load           0           0           0           0
          4                               shared_load      146643      146643      146643      586572
          4                              shared_store      118743      118743      118743      474972
          4             inst_executed_shared_atom_cas           0           0           0           0
          4                               shared_atom           0           0           0           0
          4                           global_atom_cas           0           0           0           0
          4                                atom_count           0           0           0           0
          4                                gred_count           0           0           0           0
          4                          divergent_branch           0           0           0           0
          4                                    branch       61682       61682       61682      246728
          4                   shared_ld_bank_conflict           0           0           0           0
          4                   shared_st_bank_conflict      268800      268800      268800     1075200
          4                    shared_ld_transactions      146643      146643      146643      586572
          4                    shared_st_transactions      415443      415443      415443     1661772
          4                          active_cycles_pm     2873124     2966861     2916509    11666036
          4                           active_warps_pm    51214756    53115378    52089806   208359226
          4                         elapsed_cycles_pm     3090980     3146850     3116380    12465520
    Kernel: void cub::DeviceRadixSortUpsweepKernel<cub::DeviceRadixSortPolicy<double, triangle, int>::Policy700, bool=1, bool=0, double, int>(cub::DeviceRadixSortPolicy<double, triangle, int>::Policy700 const *, bool=1*, cub::DeviceRadixSortPolicy<double, triangle, int>::Policy700 const *, int, int, cub::GridEvenShare<cub::DeviceRadixSortPolicy<double, triangle, int>::Policy700 const *>)
          6                 tex0_cache_sector_queries      250373      250768      250543     1503258
          6                 tex1_cache_sector_queries      250373      250768      250598     1503588
          6                  tex0_cache_sector_misses      250277      250701      250507     1503044
          6                  tex1_cache_sector_misses      250440      250864      250633     1503802
          6                     fb_subp0_read_sectors      241072      241093      241082     1446495
          6                     fb_subp1_read_sectors      241054      241075      241064     1446387
          6                    fb_subp0_write_sectors       22213       22259       22230      133381
          6                    fb_subp1_write_sectors       22207       22251       22234      133409
          6              l2_subp0_write_sector_misses       22157       22205       22178      133068
